source_file,yaml_name,category,target_path,git_blob_sha,duplicate_yaml_name,exact_content_duplicate,missing_dependencies_count,missing_dependencies
SKILL (10).md,cloning-video-ads,01-video-and-editing,01-video-and-editing/cloning-video-ads/SKILL.md,15d14ab1c3b15094d8a9dbed30496d2f6eee6182,false,false,2,references/reading-the-ad.md | references/rebuilding-the-ad.md
SKILL (2).md,develop-timeline-studio-plugin,01-video-and-editing,01-video-and-editing/develop-timeline-studio-plugin/SKILL.md,ff361018ed60f156798d27bdfceac9903813cda9,false,false,1,../../docs/generation-plugin-development.md
SKILL (3).md,edit-timeline-studio,01-video-and-editing,01-video-and-editing/edit-timeline-studio/SKILL.md,0370670e57fb8ea2b31eca6e30657aedeeb8aa92,false,false,30,references/webmcp-integration.md | references/host-environment.md | references/mcp-integration.md | references/command-contract.md | references/timeline-markers.md | references/auto-edit-workflow.md | references/replication-workflow.md | references/local-model-routing.md | references/web-footage-sourcing.md | references/professional-editing-workflow.md | references/curves-and-subject-effects.md | references/remote-video-generation.md | references/promotion-narrative-workflow.md | references/highlight-tension-workflow.md | references/website-promo-workflow.md | references/voiceover-workflow.md | references/e2e-evaluation.md | references/auto-edit-scenarios.md | references/current-capabilities.md | references/browser-workflow.md | docs/agent-video-editing.md | docs/codex-video-editing.md | docs/claude-code-video-editing.md | docs/github-copilot-video-editing.md | docs/gemini-cli-video-editing.md | docs/examples.md | docs/command-reference.md | docs/comparison.md | scripts/setup-host.mjs | scripts/validate_edit_plan.mjs
SKILL (9).md,generating-ad-videos,01-video-and-editing,01-video-and-editing/generating-ad-videos/SKILL.md,5696f1906933ffd4b5d4f6f3c35a1d9b99e78f7c,false,false,1,references/commercial-craft.md
SKILL (11).md,generating-cartoon-videos,01-video-and-editing,01-video-and-editing/generating-cartoon-videos/SKILL.md,326eba1b42c66ef429da3013e225a1f5ddfdffa4,false,false,4,references/look-and-style.md | references/story-craft.md | references/cast-and-places.md | references/clip-craft.md
SKILL (15).md,generating-storyboards,01-video-and-editing,01-video-and-editing/generating-storyboards/SKILL.md,61a84c6a82cd9edf26d1afcc0776da3baf5a5a5c,false,false,0,
SKILL.md,remotion-best-practices,01-video-and-editing,01-video-and-editing/remotion-best-practices/SKILL.md,3ca8690544b8557c2ba54638a5d985390761163d,false,false,11,./remotion-create/REFERENCE.md | ./remotion-markup/REFERENCE.md | ./remotion-maps/REFERENCE.md | ./remotion-multimedia/REFERENCE.md | ./remotion-interactivity/REFERENCE.md | ./remotion-render/REFERENCE.md | ./remotion-studio/REFERENCE.md | ./remotion-captions/REFERENCE.md | ./remotion-saas/REFERENCE.md | ./remotion-docs/REFERENCE.md | ./remotion-upgrade/REFERENCE.md
SKILL (1).md,remotion-captions,01-video-and-editing,01-video-and-editing/remotion-captions/SKILL.md,06c821087c3d24e9204185dd47115500baef7317,false,false,3,transcribe-captions.md | display-captions.md | import-srt-captions.md
SKILL (4).md,vibe-creating-prompt,01-video-and-editing,01-video-and-editing/vibe-creating-prompt/SKILL.md,cd8dc1d17b3d3d0314cad76a066e7bd52302399e,false,false,0,
SKILL (17).md,writing-video-scripts,01-video-and-editing,01-video-and-editing/writing-video-scripts/SKILL.md,44fc84180cef721af8bfdd143124cea0ec7307fa,false,false,0,
SKILL (5).md,adapting-formats,02-marketing-and-creative,02-marketing-and-creative/adapting-formats/SKILL.md,0e6ca791fcbaae2bc6fad61174c3f7612de62489,false,false,2,references/ratios-and-safe-zones.md | references/recomposing.md
SKILL (6).md,analyzing-brand,02-marketing-and-creative,02-marketing-and-creative/analyzing-brand/SKILL.md,00776d6c55273be424da2e06639cd2be4fb5a95a,false,false,1,references/reading-the-brand.md
SKILL (7).md,analyzing-own-ads,02-marketing-and-creative,02-marketing-and-creative/analyzing-own-ads/SKILL.md,fa752cdd1fb60b25fff2afa26e6b2645cd45abcc,false,false,4,references/pulling-own-ads.md | references/reading-one-ad.md | references/reading-own-ads.md | scripts/build_ledger.py
SKILL (8).md,analyzing-products,02-marketing-and-creative,02-marketing-and-creative/analyzing-products/SKILL.md,d29da03ffa987c7459f568b1aec09173434b8c47,false,false,2,references/url-extract.md | references/photo-analysis.md
SKILL (12).md,generating-image-ads,02-marketing-and-creative,02-marketing-and-creative/generating-image-ads/SKILL.md,517bb04435056f133e4b6f758d22270978201ec4,false,false,1,references/ad-craft.md
SKILL (13).md,generating-images,02-marketing-and-creative,02-marketing-and-creative/generating-images/SKILL.md,592e7c6a80c54ed99a30f19a7e471f72dbe7ca10,false,false,8,references/prompt-gpt-image-2.md | references/prompt-nano-banana.md | references/prompt-seedream.md | references/prompt-grok.md | references/prompt-flux.md | references/format-poster.md | references/format-portrait.md | references/format-cinematic.md
SKILL (14).md,generating-product-photos,02-marketing-and-creative,02-marketing-and-creative/generating-product-photos/SKILL.md,56fc15d042f776c9966fd5aa0e21dd8485ac17c9,false,false,11,references/mode-studio.md | references/mode-lifestyle.md | references/mode-hero.md | references/mode-on-model.md | references/mode-close-up.md | references/mode-flat-lay.md | references/mode-seasonal.md | references/mode-infographic.md | references/mode-creative.md | references/mode-floating.md | references/photographic-craft.md
SKILL (16).md,researching-competitor-ads,02-marketing-and-creative,02-marketing-and-creative/researching-competitor-ads/SKILL.md,ee81a0a3d75b200bb1665aaddb40dc9824b119c5,false,false,4,references/pulling-competitor-ads.md | references/reading-one-ad.md | references/reading-the-set.md | scripts/build_ledger.py
SKILL (39).md,n8n-agents,03-automation-n8n,03-automation-n8n/n8n-agents/SKILL.md,fd6453fda9fb5c6464a8773d12cefc0234cf639a,false,false,0,
SKILL (38).md,n8n-binary-and-data,03-automation-n8n,03-automation-n8n/n8n-binary-and-data/SKILL.md,6217d7a1d8938053b61350082d597d6e8d853f89,false,false,0,
SKILL (37).md,n8n-code-javascript,03-automation-n8n,03-automation-n8n/n8n-code-javascript/SKILL.md,8c9ab95088f5fe39a2898ca076492121b69340d1,false,false,4,DATA_ACCESS.md | ERROR_PATTERNS.md | COMMON_PATTERNS.md | BUILTIN_FUNCTIONS.md
SKILL (36).md,n8n-code-python,03-automation-n8n,03-automation-n8n/n8n-code-python/SKILL.md,6a874416cd3a38c1efe5b82b7c9d38ec79d84ffb,false,false,4,DATA_ACCESS.md | ERROR_PATTERNS.md | STANDARD_LIBRARY.md | COMMON_PATTERNS.md
SKILL (35).md,n8n-code-tool,03-automation-n8n,03-automation-n8n/n8n-code-tool/SKILL.md,a5dde15a6f59642a25bff6815c721c154b5ea20c,false,false,2,INPUT_SCHEMA.md | ERROR_PATTERNS.md
SKILL (34).md,n8n-error-handling,03-automation-n8n,03-automation-n8n/n8n-error-handling/SKILL.md,bc1efea4ef5edda627a4a956e8048e63691c426c,false,false,0,
SKILL (33).md,n8n-expression-syntax,03-automation-n8n,03-automation-n8n/n8n-expression-syntax/SKILL.md,3195a1c299b90c8372776615baa108afece9d932,false,false,2,COMMON_MISTAKES.md | EXAMPLES.md
SKILL (32).md,n8n-mcp-tools-expert,03-automation-n8n,03-automation-n8n/n8n-mcp-tools-expert/SKILL.md,f2f0f7240a2e13a20d4182130ee7e3288a180f54,false,false,5,SEARCH_GUIDE.md | VALIDATION_GUIDE.md | WORKFLOW_GUIDE.md | OPERATIONS_GUIDE.md | ../n8n-node-configuration/OPERATION_PATTERNS.md
SKILL (31).md,n8n-multi-instance,03-automation-n8n,03-automation-n8n/n8n-multi-instance/SKILL.md,d7356d10a2c37361b560e86daf6f690a9c1dfbe1,false,false,0,
SKILL (30).md,n8n-node-configuration,03-automation-n8n,03-automation-n8n/n8n-node-configuration/SKILL.md,04b6135e55cea085a9a031032872ea2710e4ca44,false,false,3,OPERATION_PATTERNS.md | DEPENDENCIES.md | NODE_FAMILY_GOTCHAS.md
SKILL (29).md,n8n-self-hosting,03-automation-n8n,03-automation-n8n/n8n-self-hosting/SKILL.md,cb27c1b6ceb40fd930061fe3c4ff6d616f875e39,false,false,2,assets/docker-compose.single.yml | assets/docker-compose.queue.yml
SKILL (28).md,n8n-subworkflows,03-automation-n8n,03-automation-n8n/n8n-subworkflows/SKILL.md,13888192363ce9bbe4a0fd195131e6cae348f00b,false,false,0,
SKILL (27).md,n8n-validation-expert,03-automation-n8n,03-automation-n8n/n8n-validation-expert/SKILL.md,85627260fe7f673b320adf113d13c2e75abae0b4,false,false,3,ERROR_CATALOG.md | FALSE_POSITIVES.md | REVIEW_CHECKLIST.md
SKILL (25).md,n8n-workflow-patterns,03-automation-n8n,03-automation-n8n/n8n-workflow-patterns/SKILL.md,4cc810dacd9537a5728463ac8b0b1d2afad137e5,false,false,5,webhook_processing.md | http_api_integration.md | database_operations.md | ai_agent_workflow.md | scheduled_tasks.md
SKILL (26).md,using-n8n-mcp-skills,03-automation-n8n,03-automation-n8n/using-n8n-mcp-skills/SKILL.md,1c1c65c0e95b3f33d859babd518d9f2f5e242d64,false,false,0,
SKILL (24).md,accessibility,04-web-development,04-web-development/accessibility/SKILL.md,22a244430f890fe44cbd7a50590d5cbf8528c77b,false,false,2,references/A11Y-PATTERNS.md | references/WCAG.md
SKILL (23).md,best-practices,04-web-development,04-web-development/best-practices/SKILL.md,54e6c16cd981be84f25804ff7c1bffa4bc5cefa4,false,false,1,references/SECURITY.md
SKILL (22).md,core-web-vitals,04-web-development,04-web-development/core-web-vitals/SKILL.md,60343a52d1832f89eb0ebf6722f4d150fe806777,false,false,5,../performance/references/MEASUREMENT.md | references/INP.md | references/CLS.md | ../performance/references/RUM.md | references/LCP.md
SKILL (18).md,frontend-design,04-web-development,04-web-development/frontend-design/SKILL.md,a5333457c414d20d625f307df945842c0952ecc3,false,false,0,
SKILL (21).md,performance,04-web-development,04-web-development/performance/SKILL.md,913a36c6ad869d530053f20fd05698804cb24e3e,false,false,2,references/MEASUREMENT.md | references/RUM.md
SKILL (19).md,seo,04-web-development,04-web-development/seo/SKILL.md,015c2f589896bcb0b08b5b77e058ca3bedcfe9b7,false,false,1,references/STRUCTURED-DATA.md
SKILL (20).md,web-quality-audit,04-web-development,04-web-development/web-quality-audit/SKILL.md,581ec7c5e8e05e6ac93d99d872906595581efc42,false,false,2,../performance/references/MEASUREMENT.md | scripts/analyze.sh
